number,value,datetime_start,datetime_complete,duration,params_cnn_out,params_dropout_a,params_dropout_b,params_fc_hidden,params_fluct_hidden,params_lr,params_lstm_hidden_a,params_n_filters1,params_n_filters2,params_n_layers,params_trend_hidden,params_weight_decay,user_attrs_best_epoch,user_attrs_n_params,user_attrs_time_s,state
72,403.7409054703276,2026-06-21 04:28:21.566454,2026-06-21 04:33:36.478492,0 days 00:05:14.912038,14,0.38226474961796697,0.4348199310875752,64,128,1.1200359613581167e-05,32,160,96,2,256,0.0006492058931697007,35.0,1093986.0,314.7,COMPLETE
73,397.5575823072678,2026-06-21 04:33:36.513070,2026-06-21 04:35:28.868110,0 days 00:01:52.355040,16,0.3841042454588989,0.4053255876036086,64,96,1.23683332343299e-05,64,128,96,2,96,0.00041161602539941837,40.0,355200.0,112.1,COMPLETE
74,402.2028017679638,2026-06-21 04:35:28.902005,2026-06-21 04:36:05.477418,0 days 00:00:36.575413,14,0.40391031629900687,0.35236706444345856,32,128,5.5325975939897516e-05,64,128,128,1,64,0.0006355847267604571,3.0,194914.0,36.4,COMPLETE
75,399.77143860586136,2026-06-21 04:36:05.507524,2026-06-21 04:37:20.869745,0 days 00:01:15.362221,16,0.3917522337194978,0.32176730032851975,32,64,2.1620359387404947e-05,64,96,128,2,96,0.0008174240543829516,21.0,292672.0,75.1,COMPLETE
76,389.9164974709329,2026-06-21 04:37:20.901313,2026-06-21 04:39:07.565048,0 days 00:01:46.663735,16,0.3218086915856025,0.3285733343233695,32,96,1.0021133558495682e-05,64,128,96,1,64,0.000218903883765373,48.0,144192.0,106.4,COMPLETE
77,402.1068343736525,2026-06-21 04:39:07.592511,2026-06-21 04:39:54.465486,0 days 00:00:46.872975,14,0.30850664131344213,0.36086458894595314,32,96,1.1034280628871893e-05,64,96,128,1,64,0.0002281796942505019,11.0,151618.0,46.6,COMPLETE
78,391.513629232751,2026-06-21 04:39:54.497752,2026-06-21 04:41:42.240850,0 days 00:01:47.743098,16,0.28287863255966195,0.289134999431877,32,64,1.748731902887558e-05,64,64,96,2,64,0.0002256125374098191,39.0,201984.0,107.4,COMPLETE
79,423.08480237418127,2026-06-21 04:41:42.273877,2026-06-21 04:42:32.951340,0 days 00:00:50.677463,16,0.15836213677513972,0.26676258534817726,32,64,6.765447020748556e-05,64,64,160,2,96,0.00030860464380518796,8.0,293952.0,50.4,COMPLETE
80,397.96260424190615,2026-06-21 04:42:32.986143,2026-06-21 04:44:24.341308,0 days 00:01:51.355165,14,0.3065896133968344,0.3306480368157947,32,96,1.3379199310996278e-05,64,64,96,2,64,0.0005302239684954031,42.0,265218.0,111.1,COMPLETE
81,407.76584503241565,2026-06-21 04:44:24.372315,2026-06-21 04:45:40.932217,0 days 00:01:16.559902,14,0.3120848800247535,0.21582811723436124,128,128,2.329512097026652e-05,32,64,96,2,64,0.0006239500254948817,22.0,323458.0,76.3,COMPLETE
